Período (mes año),agricultura y ganaderia,agricultura y ganaderia,"Silvicultura, extracción de madera","Silvicultura, extracción de madera",Pesca y actividades relacionadas con la pesca,Pesca y actividades relacionadas con la pesca,Extracción de petróleo crudo y gas natural,Extracción de petróleo crudo y gas natural,Extracción de minerales metalíferos,Extracción de minerales metalíferos,Explotación de otras minas y canteras,Explotación de otras minas y canteras,Alimentos,Alimentos,Tabaco,Tabaco,Productos textiles,Productos textiles,Confecciones,Confecciones,Cuero,Cuero,Madera,Madera,Papel,Papel,Edición,Edición,Productos de petróleo,Productos de petróleo,Productos químicos,Productos químicos,Productos de caucho y plástico,Productos de caucho y plástico,Otros minerales no metálicos,Otros minerales no metálicos,Metales comunes,Metales comunes,Otros productos de metal,Otros productos de metal,Maquinaria y equipo,Maquinaria y equipo,Maquinaria de oficina,Maquinaria de oficina,Aparatos eléctricos,Aparatos eléctricos,Radio y televisión,Radio y televisión,Instrumentos médicos,Instrumentos médicos,Automotores,Automotores,Otros equipo de transporte,Otros equipo de transporte,Muebles,Muebles,Reciclamiento de desperdicios y desechos,Reciclamiento de desperdicios y desechos,"Electricidad, gas y agua","Electricidad, gas y agua","Captación, depuración y distribución de agua","Captación, depuración y distribución de agua",Construcción,Construcción,"Vta. y reparación de vehículos, vta. por menor de combustible","Vta. y reparación de vehículos, vta. por menor de combustible",Comercio al por mayor,Comercio al por mayor,Comercio al por menor,Comercio al por menor,Servicios de hotelería y restaurantes,Servicios de hotelería y restaurantes,Transporte ferroviario y automotor y por tuberías,Transporte ferroviario y automotor y por tuberías,Transporte marítimo y fluvial,Transporte marítimo y fluvial,Transporte aéreo de cargas y de pasajeros,Transporte aéreo de cargas y de pasajeros,"Manipulación de carga, almacenamiento y depósito","Manipulación de carga, almacenamiento y depósito",Correos y telecomunicaciones,Correos y telecomunicaciones,Intermediación financiera y otros servicios financieros,Intermediación financiera y otros servicios financieros,Seguros y AFJP,Seguros y AFJP,Servicios auxiliares a la actividad financiera,Servicios auxiliares a la actividad financiera,Servicios inmobiliarios,Servicios inmobiliarios,Alquiler de equipo de transporte y de maquinaria,Alquiler de equipo de transporte y de maquinaria,Actividades de informática,Actividades de informática,Investigación y desarrollo,Investigación y desarrollo,"Servicios jurídicos, contables y otros servicios a empresas","Servicios jurídicos, contables y otros servicios a empresas",Agencias de empleo temporario,Agencias de empleo temporario,Enseñanza,Enseñanza,Servicios sociales y de salud,Servicios sociales y de salud,Eliminación de desperdicios,Eliminación de desperdicios,Servicios de organizaciones empresariales,Servicios de organizaciones empresariales,"Cinematografía, radio y televisión","Cinematografía, radio y televisión",Servicios n.c.p.,Servicios n.c.p.,sin definir,sin definir
,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones
oct-96,414.4,392.7,433.1,321.6,690.1,1312,1913.7,2200,1478.5,1585.5,911,931.8,650.3,916,1531.3,1915.3,533.6,744.6,459.2,673.5,572.6,738.6,545.6,477.3,806.6,1099.3,987.8,1315.4,1927.3,2632.1,1192.8,1740.1,660.8,910.6,889.3,979.3,1076.1,1207,668.8,688.9,810.7,880.3,787.1,1026.9,711.8,941.5,1066.9,1680.5,815.6,955.5,1054.7,1292.2,782.3,853.6,562.2,577.2,794.7,931,1357.3,1751.2,1121.6,1226.6,680,560.4,603.8,692.3,705.1,849.3,518.9,597.2,465.4,525.6,711,870.7,1076.3,1423.1,1219.6,1958.2,725.6,851.8,1370.6,1631.9,1395.5,1992.5,1096.3,1626.3,870.9,1451.6,552.5,700.2,672.2,895.6,1269.4,1989.8,1053.2,1261.9,549.6,664.2,560.9,581,502.8,596.8,645.2,922.4,323.7,694.5,746.2,967.7,666.7,870.6,498.5,531.7,601.8,612
nov-96,401.7,391.1,432.1,334.2,713.8,1482.8,1999.4,2288,1520,1427.4,921.6,927.4,626.3,892.1,1494.2,1857.4,501.4,703.6,437,671.4,536.7,697.7,519.8,457.8,798.9,1080,973.3,1287.1,1995,2898.2,1166.7,1705.7,630.3,878.3,891.5,960,1754.4,1579.5,660.8,659.4,807.6,850.9,821.8,979.8,705.3,922.4,1043.3,1629.5,775.3,918.8,998.2,1255,812.9,849.2,547.5,544.5,887.5,1052.1,1242,1666.9,1112.4,1232.2,736.3,561.7,595.7,682.1,709,849.6,507.3,594.2,456.6,516.9,698.5,850.5,1169.1,1468.6,1184.9,1977.8,734.6,851.4,1322.4,1590.8,1378.8,1974.6,1064.9,1626,865.9,1395.4,536.7,680.1,664.1,894.2,1269.3,2048,1105.8,1410.9,552.3,663.4,529.5,570.1,504.8,594.7,637.9,913.4,325.5,671.2,751,1030.9,657.5,871.2,500.4,534.9,514.7,554.7
dic-96,550,556,645.5,449.5,1009.2,1535.9,3041.5,3454.4,2056,1991.9,1388.8,1439.1,949.3,1405.6,2287.1,2809.3,793.7,1155.3,661.5,987.6,866.2,1132.3,774.9,695.6,1201.9,1706.1,1531.1,2166.2,2937.2,4275.6,1853.4,2736.9,953.8,1392.6,1378.2,1508.6,1690.7,1987.4,952.2,1015.9,1266.9,1319.3,1122.1,1452.1,1086.7,1426.2,1848,2756,1191.5,1409.7,1708.8,2423.7,1337.5,1381.2,803.1,826,1261.9,1481.4,1902.6,2550.4,1714.1,1912.5,1009.7,768.1,885.4,1058.5,1065.7,1308.5,752.8,883.3,662.8,759.9,1039.5,1288.4,1819.8,2147,1781.3,3005.5,1083.1,1242,1987.5,2455.7,2075.8,3025.5,1752.2,2530,1369.1,2365.2,815.5,1044.8,977.1,1285.5,1892.3,3102.1,1571.1,1916,793.5,957.2,718.7,792.7,710.4,844.4,951.8,1375.8,462.5,979.8,1119.5,1475.3,975.4,1299.1,726.4,780,715.7,811.5
ene-97,398.5,406.8,447.4,328.8,692.7,1227.2,2220.6,2446.7,1561.2,1423,947.4,922.2,626,951.7,1457.7,1740.4,528.9,736.2,474.9,705.1,582.2,759.8,565,499.7,866.1,1177.2,1064.2,1413.4,2128.4,3059.7,1443.3,2078.2,698.8,947.2,981.6,1071.3,1163.8,1258.4,688.8,729.8,827.8,945.5,811.3,1028.9,865.9,1099.3,1115.4,1881,907.7,1072.6,1251.3,1509.5,689.3,794.2,585.7,598.1,848.7,982.7,1523.5,2096.9,1176.2,1315.6,722.2,546,653.2,749.9,755.3,927.6,536.5,618.9,483.6,538.6,735.8,895.3,1227.9,1599.9,1233.8,2046.5,763.4,873.6,1434.2,1781.9,1465.3,2132.3,1239.4,1829.8,949.6,1598.6,565.1,732.1,721.3,972,1354.6,2347.9,1099.2,1328,588,699.4,577.8,587.1,505.6,591.7,683.4,997.9,356.4,715.7,784.5,1020.7,694.3,943.2,510.5,560.7,488.9,579.5
feb-97,417.5,406.4,443.9,324.6,644.7,1260.5,1909,2253.3,1685.3,1665.2,915.9,862.7,587.1,890.4,1276.8,1721.6,501.2,695.2,430.4,638.5,530,686.8,535.1,456.9,801.9,1082.4,973.2,1253.9,2111,2860,1218,1734.3,641.5,858.1,916.6,936.5,1044.5,1171.7,607.2,652.4,764.1,814.7,834.5,1046.4,723.9,911.8,1196.4,2009.7,787.4,944.3,1042.9,1245,779.4,850.4,561.8,561.9,893.7,924,1387.5,1855.4,1152.7,1241.4,672.6,506.5,629.7,721.1,732.6,890.8,516.8,600.5,472.1,529.8,723.9,869.8,1208.6,1541.7,1212.9,2030,737.9,854,1333.3,1641,1485.7,2251.6,1136.1,1663.1,882.1,1487.9,555.3,706.4,706.9,913.3,1400.9,2481,1080.7,1229.8,559.2,665.9,524,553.2,505.6,592.1,654.8,931.3,344.7,703.6,746.3,971.3,677.8,890.9,502.4,541.5,489.1,554.8
mar-97,410,403.7,438.3,327.1,708.5,1255.6,2025,2253.7,1502.9,1463.6,920.5,889.4,614.8,904.8,1175.2,1565,497.4,696.6,435.8,648.8,541,699.2,526.6,458.6,807.1,1142.2,973.4,1257,1988.1,2769.3,1198.4,1821,623.4,866.9,897.4,950.3,1068,1209.2,627.7,634.7,757.7,813,733.9,974.3,705.1,909.5,1007.3,1536.8,763.6,940.8,1020.9,1256.7,784.8,839.4,547.7,552.6,848.9,977.2,1435.2,2046.8,1124.1,1268,677.6,532.5,599.2,691.7,715.7,862.4,513.5,602,460.6,524.7,702.7,862.6,1220.8,1537.6,1217.6,1960.5,741.4,839.3,1526.8,1855,1385.1,2037.9,1035.5,1529,874.3,1428.5,549.8,711.8,701.9,905.5,1289.8,2250.7,1050.5,1262.5,560.7,666.1,531.4,564.4,501.4,590.8,643.6,918.3,352,704,742.7,959.9,661.6,892.8,497.7,543.2,465.8,531.8
abr-97,405,401.5,448.7,331.4,680.8,1367.7,1899.2,2347.2,1714.6,1426.4,903.9,884.5,613.4,900.8,960,1490,512.2,703.7,447.6,662.5,551.2,704.5,543.8,485.4,811.4,1087.5,988.1,1298.7,1985.5,3013.2,1209.9,1792.2,642.9,864,909,944,1035,1115.5,637.1,651.3,795,847.4,725.4,985.9,715.2,904.6,1039.2,1574.1,774.3,940.4,1038.6,1282.8,764.9,829.6,553.2,566.7,794.5,912.5,1418.1,1816.2,1176.2,1345.7,675,541.2,595,696.7,728.6,866.5,516.9,594.3,457.1,517.4,692.5,836.6,1211.9,1557.9,1189.6,1985.9,727.4,830.6,1301.4,1591,1397.8,2021.6,1025.8,1530.4,883.8,1486.6,542,687.4,711.2,895.8,1252.8,1959.6,1063.7,1229.9,552.4,656.5,539.3,554.9,499.2,590,640.2,911.7,367.7,698.2,733.5,954.5,663.2,890.3,496.3,540.4,487.9,568.3
may-97,410.1,395,450.4,326.1,725.9,1315.7,2322.6,2538,1714.3,1625,906,885.5,625.4,891.5,981.6,1528,524,724.8,456.2,670.2,569.2,729.5,534,479.6,822.7,1095.4,1006.9,1317.9,2163.2,3057.1,1181,1729.3,650.9,882.2,900.7,978.9,1067,1160.2,659.9,665.5,788.5,854.7,724.3,1106.8,734.5,936.8,1057,1578.8,783.3,968.1,1006.2,1266,767.6,848.8,564.3,576.2,847.5,943.1,1285.2,1685.2,1145.6,1236.8,669.5,545.6,596.7,704.2,725.1,867.3,515.4,600.7,464.2,526,696,853.4,1224.7,1542.4,1208.8,2058.6,725.7,824.4,1285.8,1590,1373.8,1984.2,1052.1,1552.3,888.7,1492.6,548.3,699.3,697.8,934.7,1238,1944.6,1042.1,1267,554.6,660.5,556.5,573.5,497.5,591.9,644.2,916.3,349.4,707.9,737,979.7,672.3,904.7,495.9,538.7,462.7,546.6
jun-97,559.9,563,564.7,419.1,1055.2,1510.5,2798.4,3335.1,2289.5,2024.1,1367.1,1369.3,912.8,1337.1,1554.9,2457.9,743,1053.3,635.2,954.3,808.5,1056.1,769.2,673.4,1203.8,1671.6,1511.1,2049.9,2965.7,4119.7,1822.6,2662,938.1,1288.3,1324.8,1430.2,1598.4,1808.2,894.4,951.8,1139.5,1250,1056.2,1510.2,1066.9,1364,1610.7,2492.2,1192.1,1416.5,1458.8,1872.4,1119.5,1198.4,794.4,819.9,1264.1,1383,1908.7,2551.6,1718.6,1905.8,976.1,728.5,873.8,1041.8,1070.8,1294.8,761.2,887.8,656.7,762.2,1002.8,1241.6,1877.9,2176.2,1824,3068.2,1066.6,1170.5,1901.2,2366.3,2088.3,3099.8,1633.9,2363.9,1295,2175.5,812.8,1052.8,1064.6,1297.6,1810.3,2944.5,1552.1,1832.9,795.3,937.2,735.8,750.2,693.4,826.7,949.4,1365.1,488.6,1008.2,1093.9,1469.2,960.8,1327.1,706.4,766,629.4,729.2
jul-97,417.7,399.2,414,328,715.5,1251.8,1947.6,2227.3,1703.6,1604.9,937.9,946.5,638,905.5,1039.7,1682.2,523,728.6,459.8,671.9,562.9,720.3,540.5,470.4,819.5,1088.6,1025.3,1337.7,1958,2708.6,1186.8,1756.3,664.6,879.9,893.8,982.8,1060,1167.5,677.4,672.1,794.5,864.5,725.1,1081.7,737.3,938.4,1074.9,1632.7,804.9,958.8,971.3,1253.3,793.2,882.5,572.5,586.1,821.7,896.9,1285.9,1675.9,1148.3,1284.8,680,534.1,592.1,701.3,737.2,877.6,517.5,601.8,460.4,527.7,681.6,843.9,1198.5,1491.8,1204.5,2042.9,732.4,831.8,1258,1555.2,1352.6,1984.2,1119.8,1611.8,877.1,1443.5,546.9,701.5,714.6,896.4,1248.4,1979.9,1092.2,1295.2,555.5,655.7,556.9,572.8,500.6,589,650.6,933.2,357.5,702.2,736.9,979.4,678,921.9,502.4,532.2,452.4,522.9
